Date,600039.SH,600053.SH,600056.SH,600131.SH,600167.SH,600180.SH,600185.SH,600197.SH,600233.SH,600236.SH,600260.SH,600273.SH,600282.SH,600299.SH,600312.SH,600323.SH,600329.SH,600338.SH,600409.SH,600422.SH,600483.SH,600486.SH,600502.SH,600507.SH,600511.SH,600556.SH,600557.SH,600563.SH,600566.SH,600567.SH,600580.SH,600587.SH,600612.SH,600641.SH,600673.SH,600675.SH,600681.SH,600742.SH,600755.SH,600764.SH,600782.SH,600802.SH,600803.SH,600828.SH,600835.SH,600846.SH,600850.SH,600985.SH,600987.SH,601000.SH,601003.SH,601139.SH
2012/6/8,2.284117061,6.543422358,9.613769773,6.162025684,3.892362651,8.106317567,2.001736866,11.86847208,5.081811625,2.313349672,7.71231374,5.331801875,2.251480688,5.705716303,6.586965485,6.495913213,10.05676598,4.431803335,3.607249246,7.804397009,4.638193517,8.859830569,3.985798715,1.649119071,12.79900033,3.146952212,8.928410382,12.63076487,6.757209976,1.976452014,4.877417612,11.84416573,17.98299616,3.60358866,3.254282315,3.062020388,2.292362589,5.381955829,4.054181772,6.052008813,2.045666839,6.431848164,8.768534863,4.597853585,7.446672067,4.362848089,19.73024412,7.044455987,2.274921916,1.254569162,2.559075459,5.402045361
2012/6/11,2.293039393,6.712892289,9.63561925,6.459106238,4.048911058,8.201239318,2.036034539,11.83480265,5.229110513,2.391260412,7.802964806,5.38373501,2.27649714,5.742527375,6.656119978,6.697763624,10.4724095,4.438632,3.612824593,8.081987807,4.747823546,8.96719147,4.092086681,1.664713577,12.87203314,3.146952212,9.350066945,12.89985153,6.857688934,2.004822139,4.960555412,11.926856,18.07821626,3.668194831,3.272793591,3.168908164,2.323508819,5.58387625,4.219497922,6.140574796,2.054561043,6.544264986,8.863190293,4.621351985,7.579204607,4.469259018,19.83674058,6.988636209,2.293691899,1.266710154,2.619825024,5.388880344
2012/6/12,2.293039393,6.769382266,9.709907471,6.248274877,3.977752691,8.068348866,2.0609783,11.86847208,5.192285791,2.361294743,7.795991647,5.357768442,2.251480688,5.678107998,6.578321173,6.550963325,10.4724095,4.493261317,3.640701326,8.200305196,4.663492755,8.87516784,4.059609802,1.637423191,12.77161303,3.146952212,9.43038248,12.81015597,6.874435427,1.976452014,4.895892678,11.86362226,17.81296027,3.668194831,3.324625164,3.212920777,2.441864497,5.457028806,4.172264737,6.081530808,2.032325534,6.471997029,8.708299589,4.597853585,7.612337742,4.442656286,19.63084742,6.882578631,2.282429909,1.258616159,2.57426285,5.31427858
2012/6/13,2.310884058,6.788212259,10.0594991,6.372857045,4.166322363,8.163270618,2.079686121,12.30617459,5.339584679,2.469171153,8.172542228,5.409701578,2.268158323,5.797743985,6.690697225,6.688588605,10.74348136,4.547890634,3.729906871,8.486997331,4.739390467,8.99275359,4.112753785,1.653017698,13.07287338,3.146952212,9.905582733,13.03031779,7.008407372,1.995365431,4.988268012,12.27707363,18.06461339,3.711265612,3.276495846,3.231783326,2.448093743,5.759909438,4.306092096,6.18977812,2.050113941,6.568354305,9.000870919,4.660515985,7.670320728,4.522464483,19.73734388,6.949562365,2.312461882,1.268733652,2.597043937,5.481035464
2012/6/14,2.203816071,6.599912335,10.01143025,6.459106238,4.080932323,8.106317567,2.020444688,12.43243493,5.265935235,2.445198617,8.09583748,5.461634713,2.24314187,5.779338448,6.604254108,6.5876634,10.56276679,4.472775323,3.713180831,8.341375929,4.722524308,9.360848108,4.018275593,1.653017698,12.85377494,3.146952212,9.898889772,12.94062224,6.799076208,1.957538598,4.942080345,12.12628549,18.31626652,3.639480978,3.209855253,3.181483196,2.423176758,5.64600561,4.290347701,6.160256125,2.050113941,6.44790771,9.370887601,4.684014385,7.554354756,4.442342179,19.72314435,6.899324565,2.282429909,1.250522165,2.57426285,5.514293059
2012/6/15,2.203816071,6.496347377,10.13815722,6.363273801,4.088048159,7.925966239,1.983029045,12.54186056,5.339584679,2.397253546,8.137676433,5.444323668,2.259819505,5.806946753,6.71663016,6.5876634,10.56276679,4.61617728,3.713180831,8.359578604,4.773122783,9.427309619,4.062562246,1.617930058,13.01809877,3.146952212,9.905582733,13.03031779,6.832569195,1.966995306,4.960555412,11.91712773,18.1802378,3.632302514,3.391265757,3.12489555,2.410718266,5.783207948,4.219497922,6.150415461,2.059008145,6.463967256,9.198786819,4.676181585,7.595771174,4.460147158,19.79414199,6.871414676,2.278675913,1.256592661,2.581856546,5.540900022
2012/6/18,2.203816071,6.515177369,9.985210878,6.353690557,4.137859016,7.745614912,2.020444688,12.71020768,5.371806311,2.427219216,8.353844359,5.470290235,2.251480688,5.871366131,6.733918783,6.789513811,10.80673146,4.848351877,3.735482218,8.600764051,4.823721258,9.636918997,4.121611115,1.625727311,12.79900033,3.146952212,10.032749,13.15262991,6.840942441,1.957538598,4.997505545,12.18465509,18.33667082,3.639480978,3.476417627,3.137470583,2.491698466,5.871224541,4.203753527,6.160256125,2.063455246,6.544264986,9.198786819,4.738843985,7.728303714,4.477952136,20.41182146,6.932816431,2.297445896,1.274804148,2.597043937,5.507641319
2012/6/19,2.199354905,6.477517384,10.01143025,6.22910839,4.038237303,7.831044488,1.983029045,12.17991425,5.330378498,2.397253546,8.074918003,5.45297919,2.234803053,5.779338448,6.733918783,6.688588605,10.91516021,4.848351877,3.702030138,8.364129273,4.739390467,9.560232639,4.089134237,1.621828684,12.77149497,3.146952212,10.2612246,12.98954708,6.807449455,1.976452014,4.923605278,12.04359521,18.30946508,3.574874806,3.406074778,3.087170453,2.473010727,5.765086884,4.148648144,6.101023204,2.050113941,6.44790771,9.052501154,4.840670384,7.628904309,4.504659604,20.00003515,6.893742587,2.267413923,1.288968639,2.566669154,5.434472171
2012/6/20,2.168126742,6.317462449,9.753606425,6.123692709,3.935057671,7.764599262,2.014208747,12.04523655,5.339584679,2.397253546,7.830857442,5.38373501,2.234803053,5.751730144,6.690697225,6.780338792,10.5989097,4.848351877,3.696454792,8.286767903,4.688791992,9.519333248,4.068467133,1.598436925,12.38642477,3.146952212,10.00586996,13.18524647,6.799076208,1.957538598,4.905130212,11.75661132,18.03060621,3.517447099,3.391265757,3.068307905,2.454322989,5.726256034,4.117159353,6.120767616,2.045666839,6.375639753,9.061106193,4.981660784,7.620621025,4.469049647,20.10653161,6.893742587,2.263659926,1.303133129,2.566669154,5.620720911
2012/6/21,2.110131582,6.392782418,9.78433498,5.97036081,3.963521018,7.859521013,2.007972807,12.09574069,5.229110513,2.421226082,7.740206376,5.262557695,2.209786601,5.61368862,6.543743926,6.633538493,10.68926699,4.848351877,3.713180831,8.541605356,4.528563489,9.457984162,4.065514689,1.559450658,12.26723638,3.146952212,9.958830947,13.02216365,6.681850756,1.938625182,4.821992411,11.79066026,17.81976171,3.445662464,3.295007122,3.080882937,2.398259773,5.682247737,4.06205397,6.11089541,2.032325534,6.166865655,8.820165098,4.911165584,7.4301055,4.371122264,19.31845781,7.005382143,2.233627954,1.295039135,2.505919588,5.407865208
